screen_id,name_pt,type,entry_from,exits_to,default_focus,controller,keyboard,mouse,steam_deck,text_keys,audio,animation,ultrawide,phase,status,notes
pause,Pausa,menu,game (Esc/Start),game · options · title,UI_RESUME,D-pad · A · B,setas · Enter · Esc,clique,igual ao comando,UI_PAUSED · UI_RESUME · UI_OPTIONS · UI_SEED_COPY · UI_SAVE_AND_QUIT,sfx_ui_confirm,fundo escurecido,área 16:9,1,IN_GAME,Emite game_paused (§46). GB-13: greybox com UI_PAUSED · UI_RESUME e as duas opções que o §26 diz obrigatórias (OPT_SCREEN_SHAKE · OPT_FLASHES); faltam UI_OPTIONS · UI_SEED_COPY · UI_SAVE_AND_QUIT.
options,Opções,menu com separadores,title · pause,audio · video · controls · accessibility · language,primeiro separador,LB/RB · D-pad · A · B,Q/E · setas · Enter · Esc,clique,igual ao comando,UI_OPTIONS,sfx_ui_move,—,área 16:9,4,TODO,Aplica logo; guarda em user://settings.cfg (§45).
audio,Áudio,separador,options,options,OPT_MASTER_VOLUME,D-pad esquerda-direita ajusta,setas,arrastar,igual ao comando,OPT_MASTER_VOLUME · OPT_MUSIC_VOLUME · OPT_SFX_VOLUME · OPT_CAPTIONS,amostra de som ao ajustar,—,área 16:9,4,TODO,
video,Vídeo,separador,options,options,OPT_FULLSCREEN,D-pad · A,setas · Enter,clique,sem fullscreen/janela no Deck,OPT_FULLSCREEN · OPT_WINDOWED · OPT_CRISP_PIXELS,sfx_ui_confirm,—,área 16:9,4,TODO,OPT_CRISP_PIXELS = escala inteira com barras (§19 · ADR 0001).
controls,Controlos,separador,options,remap,primeira ação,D-pad · A (remapear) · X (repor),setas · Enter,clique,igual ao comando,OPT_REMAP,sfx_ui_confirm,—,área 16:9,5,TODO,Remapeamento completo por InputMap (§26).
accessibility,Acessibilidade,separador,options,options,OPT_DAY_LENGTH,D-pad · A,setas · Enter,clique,igual ao comando,OPT_DAY_LENGTH · OPT_SCREEN_SHAKE · OPT_FLASHES · OPT_COLORBLIND · OPT_CONTRAST · OPT_TEXT_SIZE · OPT_CAPTIONS,sfx_ui_confirm,—,área 16:9,5,TODO,Ver ACCESSIBILITY_MATRIX.
language,Idioma,separador,options,options,idioma atual,D-pad · A,setas · Enter,clique,igual ao comando,UI_LANGUAGE,sfx_ui_confirm,—,área 16:9,4,TODO,Oito idiomas de loja (§27).
save_slots,Gravação,lista,continue · pause,game · title,espaço mais recente,D-pad · A · Y (apagar),setas · Enter · Del,clique,igual ao comando,UI_SLOT_N · UI_SLOT_DAY_N · UI_SLOT_EMPTY,sfx_ui_confirm,—,área 16:9,1,TODO,Três espaços com rotação; autosave no amanhecer (§62).
succession,Sucessão,cena curta,game (king_died com herdeiro),game,—,A salta,Enter salta,clique salta,A salta,UI_SUCCESSION,sting_succession,3 s: novo monarca e nobres na varanda,área 16:9,6,TODO,A ganância lê-se pelos nobres (§15 · §24).
interregnum,Interregno,estado no mundo,game (king_died sem herdeiro),game · defeat,—,—,—,—,—,UI_INTERREGNUM,sting_interregnum,castelo sem coroa,—,6,TODO,3 dias sem construir · ganância 80 (§16). Não bloqueia.
defeat,Derrota,cena,game,title,UI_CONTINUE,A,Enter,clique,A,UI_CROWN_FALLEN,sting_defeat,o que o decay mantém mostrado como objetos,área 16:9,1,IN_GAME,Sementes · classes · mapas · segredos · 40% das estruturas (§16). GB-16: greybox com UI_CROWN_FALLEN e UI_NEW_GAME, que recomeça do zero; o decay ainda não existe (Q-088).
victory_epilogue,Epílogo,sequência,game,credits,—,A avança,Enter,clique,A,EPILOGUE_UNION · EPILOGUE_DOMINION,music_epilogue,colagem arquitetónica final,área 16:9,7,TODO,União se poupaste os reis; Domínio se os mataste (§17).
journal,Diário,leitura,game (secret_found),game,texto,B fecha · stick rola,Esc · setas,roda do rato,igual ao comando,JOURNAL_NN_TITLE · JOURNAL_NN_BODY,sfx_page,pergaminho a abrir,área 16:9,3,TODO,O único ecrã com parágrafos; ≤ 600 caracteres.
credits,Créditos,rolagem,title · victory_epilogue,title,—,B sai,Esc,clique,B,UI_CREDITS,music_credits,rolagem,área 16:9,4,TODO,Inclui as licenças de terceiros (NOTICE.md).
