keys,pt_PT,en,_context,_max_chars,_notes
BUILDING_HENHOUSE,Galinheiro,Henhouse,nome de conteúdo — building,24,
BUILDING_COW_STABLE,Estábulo de Vacas,Cowshed,nome de conteúdo — building,24,
BUILDING_LUMBER_CAMP,Corte de Madeira,Lumber Camp,nome de conteúdo — building,24,
BUILDING_ORE_PIT,Poço de Minério,Ore Pit,nome de conteúdo — building,24,
BUILDING_GRANARY,Celeiro,Granary,nome de conteúdo — building,24,
BUILDING_SALTERY,Salga,Saltery,nome de conteúdo — building,24,
BUILDING_PEN,Curral,Pen,nome de conteúdo — building,24,
BUILDING_SAWMILL,Serração,Sawmill,nome de conteúdo — building,24,
BUILDING_SMELTER,Fundição,Smelter,nome de conteúdo — building,24,
BUILDING_ARCHER_TOWER,Torre de Arqueiros,Archer Tower,nome de conteúdo — building,24,
BUILDING_HIGH_TOWER,Torre Alta,High Tower,nome de conteúdo — building,24,
BUILDING_FIRE_BARREL,Barril de Fogo,Fire Barrel,nome de conteúdo — building,24,
BUILDING_ROOT_MOAT,Fosso de Raízes,Root Moat,nome de conteúdo — building,24,
BUILDING_LIGHTHOUSE,Farol,Lighthouse,nome de conteúdo — building,24,
BUILDING_CONSECRATED_ALTAR,Altar Consagrado,Consecrated Altar,nome de conteúdo — building,24,
WALL_STAKES,Estacaria,Stakes,nome de conteúdo — wall,24,
WALL_PALISADE,Paliçada,Palisade,nome de conteúdo — wall,24,
WALL_STONE,Muro de Pedra,Stone Wall,nome de conteúdo — wall,24,
WALL_IRON,Muralha de Ferro,Iron Wall,nome de conteúdo — wall,24,
WALL_BASTION,Bastião,Bastion,nome de conteúdo — wall,24,
CLASS_MONARCH,Monarca,Monarch,nome de conteúdo — class,24,
CLASS_ARCHER,Arqueiro,Archer,nome de conteúdo — class,24,
CLASS_BARD,Bardo,Bard,nome de conteúdo — class,24,
CLASS_CLIMBER,Trepador,Climber,nome de conteúdo — class,24,
CLASS_BURIED_KNIGHT,Cavaleiro Enterrado,Buried Knight,nome de conteúdo — class,24,
CLASS_SEALED_KNIGHT,Cavaleiro Selado,Sealed Knight,nome de conteúdo — class,24,
CLASS_DIPLOMAT,Diplomata,Diplomat,nome de conteúdo — class,24,
CRAFT_GRAIN,Grão,Grain,nome de conteúdo — craft,24,
CRAFT_FISH,Peixe,Fish,nome de conteúdo — craft,24,
CRAFT_ANIMAL,Animal vivo,Livestock,nome de conteúdo — craft,24,
CRAFT_WOOD,Madeira,Timber,nome de conteúdo — craft,24,
CRAFT_ORE,Minério,Ore,nome de conteúdo — craft,24,
JOB_WALL,Muralha,Wall,nome de conteúdo — job,24,
JOB_TOWER,Torre,Tower,nome de conteúdo — job,24,
JOB_FARM,Plantação,Field,nome de conteúdo — job,24,
JOB_HUNT,Caça,Hunt,nome de conteúdo — job,24,
JOB_BUILD,Construir,Build,nome de conteúdo — job,24,
JOB_REPAIR,Reparar,Repair,nome de conteúdo — job,24,
JOB_FORGE,Forja,Forge,nome de conteúdo — job,24,
JOB_KITCHEN,Cozinha,Kitchen,nome de conteúdo — job,24,
JOB_EMBASSY,Embaixada,Embassy,nome de conteúdo — job,24,
JOB_MILKING,Ordenha,Milking,nome de conteúdo — job,24,
JOB_CART,Carroça,Cart,nome de conteúdo — job,24,
JOB_GUARD,Guarda,Guard,nome de conteúdo — job,24,
JOB_AIR_PATROL,Patrulha aérea,Air Patrol,nome de conteúdo — job,24,
JOB_PERFORM,Atuação,Performance,nome de conteúdo — job,24,
BIOME_ANCIENT_FOREST,Floresta Antiga,Ancient Forest,nome de conteúdo — biome,24,
BIOME_COAST,Costa,Coast,nome de conteúdo — biome,24,
BIOME_CANYON,Desfiladeiro,Canyon,nome de conteúdo — biome,24,
BIOME_FLOODPLAIN,Várzea,Floodplain,nome de conteúdo — biome,24,
BIOME_VOLCANIC,Terras Vulcânicas,Volcanic Lands,nome de conteúdo — biome,24,
BIOME_SUBTERRANEAN,Subterrâneo,Underground,nome de conteúdo — biome,24,
MOUNT_ON_FOOT,A pé,On Foot,nome de conteúdo — mount,24,
MOUNT_DRAFT_HORSE,Cavalo de Tração,Draft Horse,nome de conteúdo — mount,24,
MOUNT_BOAR,Javali,Boar,nome de conteúdo — mount,24,
MOUNT_LIZARD,Lagarto,Lizard,nome de conteúdo — mount,24,
MOUNT_DRAGONFLY,Libélula,Dragonfly,nome de conteúdo — mount,24,
MOUNT_ROT_ELK,Alce da Podridão,Rot Elk,nome de conteúdo — mount,24,
IMPULSE_FORCED_HARVEST,Colheita Forçada,Forced Harvest,nome de conteúdo — impulse,24,
IMPULSE_CALL_TO_ARMS,Chamada às Armas,Call to Arms,nome de conteúdo — impulse,24,
IMPULSE_FREE_FAIR,Feira Livre,Free Fair,nome de conteúdo — impulse,24,
IMPULSE_PROTECTED_ROUTE,Rota Protegida,Protected Route,nome de conteúdo — impulse,24,
IMPULSE_VIGIL,Vigília,Vigil,nome de conteúdo — impulse,24,
IMPULSE_ROYAL_PARDON,Perdão Real,Royal Pardon,nome de conteúdo — impulse,24,
GREED_AUSTERE,Austero,Austere,nome de conteúdo — greed,24,
GREED_BALANCED,Equilibrado,Balanced,nome de conteúdo — greed,24,
GREED_LAVISH,Fastuoso,Lavish,nome de conteúdo — greed,24,
GREED_TYRANT,Tirano,Tyrant,nome de conteúdo — greed,24,
SECRET_ROOT_CHAMBER,Câmara de Raiz,Root Chamber,nome de conteúdo — secret,24,
SECRET_BURIED_STATUE,Estátua Enterrada,Buried Statue,nome de conteúdo — secret,24,
SECRET_CAMPAIGN_JOURNAL,Diário de Campanha,Campaign Journal,nome de conteúdo — secret,24,
SECRET_ANCIENT_SEED,Semente Anciã,Ancient Seed,nome de conteúdo — secret,24,
WILDLIFE_RABBIT,Coelho,Rabbit,nome de conteúdo — wildlife,24,
WILDLIFE_DEER,Veado,Deer,nome de conteúdo — wildlife,24,
WILDLIFE_BOAR,Javali,Boar,nome de conteúdo — wildlife,24,
COMPANION_SNIFFER,Farejador,Sniffer,nome de conteúdo — companion,24,
COMPANION_HERALD,Arauto,Herald,nome de conteúdo — companion,24,
COMPANION_MAGPIE,Pega,Magpie,nome de conteúdo — companion,24,
CHAOS_SPORE_FIELD,Campo de Esporos,Spore Field,nome de conteúdo — chaos,24,
CHAOS_INVERTED_FLOODPLAIN,Várzea Invertida,Inverted Floodplain,nome de conteúdo — chaos,24,
CHAOS_BLIND_FURROW,Sulco Cego,Blind Furrow,nome de conteúdo — chaos,24,
CHAOS_BONE_MARKET,Mercado dos Ossos,Bone Market,nome de conteúdo — chaos,24,
PEOPLE_ENRAMADOS,Enramados,Enramados,nome de povo,16,Nome provisório (§04). Nome próprio: fica igual em EN até a Bíblia de nomes decidir.
PEOPLE_PORTUARIOS,Portuários,Portuários,nome de povo,16,Nome provisório (§04). Nome próprio: fica igual em EN até a Bíblia de nomes decidir.
PEOPLE_FENDA,Fenda,Fenda,nome de povo,16,Nome provisório (§04). Nome próprio: fica igual em EN até a Bíblia de nomes decidir.
PEOPLE_HORTA,Horta,Horta,nome de povo,16,Nome provisório (§04). Nome próprio: fica igual em EN até a Bíblia de nomes decidir.
PEOPLE_FORNALHA,Fornalha,Fornalha,nome de povo,16,Nome provisório (§04). Nome próprio: fica igual em EN até a Bíblia de nomes decidir.
PEOPLE_SOBRAIZ,Sob-Raiz,Sob-Raiz,nome de povo,16,Nome provisório (§04). Nome próprio: fica igual em EN até a Bíblia de nomes decidir.
JOURNAL_01_TITLE,Lista dos nichos de estrada,The roadside shrine list,título de diário,32,Ato 1 (§79). Seis aldeias pagavam para o mesmo fundo.
JOURNAL_01_BODY,"Nichos a caiar antes das chuvas: o da bifurcação da Horta, os dois da estrada larga, o do vau, o da subida, e o que fica no meio do sobreiro.

Cal: dois alqueires. Óleo: o do costume.

Pagam: Enramados, Portuários, Horta, Fornalha, Fenda, Sob-Raiz. Partes iguais, como sempre.

Falta assentar quem varre o do sobreiro este ano. No ano passado foi a Fenda e ninguém reclamou.","Shrines to whitewash before the rains: the one at the Horta fork, the two on the wide road, the one at the ford, the one on the climb, and the one out in the cork oak.

Lime: two bushels. Oil: the usual.

Paying: Enramados, Portuários, Horta, Fornalha, Fenda, Sob-Raiz. Equal shares, as always.

Still to settle who sweeps the cork oak one this year. Last year it was Fenda and nobody complained.",texto de diário,600,Ato 1 (§79). Primeira versão; mede-se contra o diário 9. Seis aldeias pagavam para o mesmo fundo.
JOURNAL_02_TITLE,Manifesto de porto,Harbour manifest,título de diário,32,"Ato 1 (§79). Havia comércio, língua comum e famílias misturadas."
JOURNAL_02_BODY,"Entrada de terça. Barca da Horta: cebola, dois fardos de linho, sal de retorno.

Saída: madeira serrada para a Fornalha, três barris de resina.

Registo da semana: casaram Anta, de cá, com Milheiro da Horta. Casou a filha do mestre de barcas com um dos Enramados, e o pai não veio.

Escrito na fala do porto, que toda a gente lê.","Tuesday's arrival. Barge from Horta: onions, two bales of flax, salt on the return.

Out: sawn timber for Fornalha, three barrels of resin.

This week's register: Anta, of this place, married Milheiro of Horta. The bargemaster's daughter married one of the Enramados, and the father did not come.

Written in harbour speech, which everyone reads.",texto de diário,600,"Ato 1 (§79). Primeira versão; mede-se contra o diário 9. Havia comércio, língua comum e famílias misturadas."
JOURNAL_03_TITLE,Carta de fundação da procissão,Charter of the procession,título de diário,32,"Ato 1 (§79). Instituída para levar uma coisa a uma capela uma vez, e nunca mais."
JOURNAL_03_BODY,"Fica instituída a procissão, para levar à capela do alto o que aqui se guarda. Uma vez.

Sai à alvorada. Vai pelo caminho de baixo, que é mais longo e não passa por casas.

Acabada a entrega, desfaz-se. Não se repete no ano seguinte nem em nenhum.

Assinam os seis. O andor fica à guarda de quem o carregar primeiro.","The procession is hereby instituted, to carry what is kept here up to the chapel on the height. Once.

It leaves at dawn. It takes the lower road, which is longer and passes no houses.

The delivery made, it disbands. It is not repeated the following year, nor any year.

The six sign. The litter stays in the keeping of whoever carries it first.",texto de diário,600,"Ato 1 (§79). Primeira versão; mede-se contra o diário 9. Instituída para levar uma coisa a uma capela uma vez, e nunca mais."
JOURNAL_04_TITLE,O livro da Contadeira,The Counting Woman's book,título de diário,32,Ato 2 (§79). Seis entregas para fora. Nenhuma de volta.
JOURNAL_04_BODY,"Livro de contas da casa do cruzamento. Começa hoje.

Passou para poente: um carro dos Enramados, coberto. Um da Horta, coberto. Um da Fenda. Um dos Portuários. Um da Fornalha. Um dos Sob-Raiz, que levava mais gente do que carga.

Seis.

Para nascente, esta semana: nada. Para nascente, semana passada: nada. Para nascente, no mês inteiro: nada.

Anoto na mesma, porque a conta é a conta e há de fazer falta a alguém.

Deixo espaço para quando voltarem.","Accounts book of the house at the crossroad. Begins today.

Went west: one cart of the Enramados, covered. One of Horta, covered. One of Fenda. One of the Portuários. One of Fornalha. One of the Sob-Raiz, carrying more people than freight.

Six.

Eastward, this week: nothing. Eastward, last week: nothing. Eastward, the whole month: nothing.

I write it down all the same, because the count is the count and it will matter to someone.

I leave room for when they come back.",texto de diário,600,Ato 2 (§79). Primeira versão; mede-se contra o diário 9. Seis entregas para fora. Nenhuma de volta.
JOURNAL_05_TITLE,Requisição de material,Requisition for wall stock,título de diário,32,"Ato 2 (§79). «Do costume», em quantidade que dá exatamente uma árvore."
JOURNAL_05_BODY,"Requisição para o segmento sul, do costume.

Estacas: cento e vinte, de quatro palmos. Tabique: o que der para dezasseis panos. Lascas: as que sobrarem da Fenda. Escória: dois carros, se a Fornalha mandar.

Total, pelo cálculo do mestre: uma.

Vem pelo caminho de baixo, à noite, como das outras vezes. Não se descarrega à porta da vila, e não se pergunta ao carreiro de onde vem.

Assentar em separado do resto, como sempre se assentou.","Requisition for the south segment, the usual.

Stakes: one hundred and twenty, four spans. Lath: enough for sixteen panels. Splinters: whatever Fenda has left over. Slag: two carts, if Fornalha sends them.

Total, by the master's reckoning: one.

It comes by the lower road, at night, as the other times. It is not unloaded at the village gate, and the carter is not asked where it came from.

To be entered apart from the rest, as it has always been entered.",texto de diário,600,"Ato 2 (§79). Primeira versão; mede-se contra o diário 9. «Do costume», em quantidade que dá exatamente uma árvore."
JOURNAL_06_TITLE,Carta de quem foi ver,Letter from the one who went,título de diário,32,Ato 2 (§79). Os seis materiais cheiram todos ao mesmo.
JOURNAL_06_BODY,"Fui aos seis, como pediste, e levei o tempo que disse que levava.

A madeira dos Enramados. As estacas da Horta. As lascas da Fenda. O tabique dos Portuários. A escória da Fornalha. E o que os Sob-Raiz puseram no deles, que ninguém sabe nomear.

Molhei um pedaço de cada e cheirei ao pé do lume.

É o mesmo cheiro. Nos seis.

Não te digo mais por carta.","I went to all six, as you asked, and it took the time I said it would.

The timber of the Enramados. The stakes of Horta. The splinters of Fenda. The lath of the Portuários. The slag of Fornalha. And whatever the Sob-Raiz put in theirs, which nobody can name.

I wetted a piece of each and smelled it by the fire.

It is the same smell. All six.

I will not tell you more by letter.",texto de diário,600,Ato 2 (§79). Primeira versão; mede-se contra o diário 9. Os seis materiais cheiram todos ao mesmo.
JOURNAL_07_TITLE,Bilhete à porta do forno,Note nailed to the oven door,título de diário,32,Ato 3 (§79). O forno foi aceso «para a vigília». Ninguém o apagou porque a vigília não acabou.
JOURNAL_07_BODY,"Aceso para a vigília.

Não se apaga sem ordem de quem a mandou fazer. Quem estiver de turno alimenta duas vezes ao dia, de manhã e ao pôr do sol, e assina por baixo. Carvão do monte, e nunca madeira verde.

Alimentei. — o ferreiro velho
Alimentei. — o filho
Alimentei. — o filho
Alimentei. — a mulher do filho
Alimentei. — não diz
Alimentei. — não diz
Alimentei.","Lit for the vigil.

It is not put out without an order from the one who called it. Whoever is on shift feeds it twice a day, at morning and at sundown, and signs below. Charcoal from the stack, and never green wood.

Fed it. — the old smith
Fed it. — the son
Fed it. — the son
Fed it. — the son's wife
Fed it. — no name
Fed it. — no name
Fed it.",texto de diário,600,Ato 3 (§79). Primeira versão; mede-se contra o diário 9. O forno foi aceso «para a vigília». Ninguém o apagou porque a vigília não acabou.
JOURNAL_08_TITLE,As contas do Dono da Praça,The Square Owner's accounts,título de diário,32,Ato 3 (§79). Cinco pagavam ao sexto para fazer o trabalho sozinho. Depois deixaram de pagar.
JOURNAL_08_BODY,"Conta corrente com os cinco, pelo turno dos Sob-Raiz.

Enramados: pago até à colheita. Horta: pago. Portuários: pago, com desconto de frete. Fornalha: pago em ferro. Fenda: pago, com atraso de dois meses e sem juro, que se perdoou.

Ano seguinte — Enramados: nada. Horta: nada. Portuários: nada. Fornalha: nada. Fenda: nada.

Ano seguinte, igual. E o seguinte, e o outro.

Mandei cobrar duas vezes e as duas cartas voltaram por mão do próprio carteiro.

Ninguém veio dizer que parava. Só pararam.","Running account with the five, for the Sob-Raiz shift.

Enramados: paid to harvest. Horta: paid. Portuários: paid, freight discounted. Fornalha: paid in iron. Fenda: paid, two months late and no interest, which was forgiven.

Following year — Enramados: nothing. Horta: nothing. Portuários: nothing. Fornalha: nothing. Fenda: nothing.

Following year, the same. And the next, and the one after.

I sent to collect twice and both letters came back by the carrier's own hand.

Nobody came to say they were stopping. They just stopped.",texto de diário,600,Ato 3 (§79). Primeira versão; mede-se contra o diário 9. Cinco pagavam ao sexto para fazer o trabalho sozinho. Depois deixaram de pagar.
JOURNAL_09_TITLE,Escala de turnos,A roster of shifts,título de diário,32,"Ato 3 (§79). Datada do ano em que A Podridão começa, com a semana seguinte já preenchida. É o espécime da §79: setenta e uma palavras, e nada explicado."
JOURNAL_09_BODY,"Semana trinta e uma.

Turno da manhã: Ourique, Bendafé, o rapaz do Vale que ainda não disse o nome.
Turno da tarde: Marta, e a irmã se a perna deixar.
Turno da noite: eu.

Falta óleo para nove dias. Mandei recado acima pela terceira vez.
Não é queixa. É a conta.

Semana trinta e dois, mesma ordem.
Semana trinta e três, mesma ordem.","Week thirty-one.

Morning shift: Ourique, Bendafé, the boy from the Vale who still hasn't given his name.
Afternoon shift: Marta, and her sister if the leg allows.
Night shift: me.

Oil short by nine days. Sent word up for the third time.
It is not a complaint. It is the count.

Week thirty-two, same order.
Week thirty-three, same order.",texto de diário,600,"Ato 3 (§79). Primeira versão; mede-se contra o diário 9. Datada do ano em que A Podridão começa, com a semana seguinte já preenchida. É o espécime da §79: setenta e uma palavras, e nada explicado."
JOURNAL_10_TITLE,Registo de travessias,Register of crossings,título de diário,32,"Ato 4 (§79). Desde o soterramento, ninguém veio do outro lado."
JOURNAL_10_BODY,"Registo da ponte. Quem passa, para que lado, e a que horas.

Para lá: doze. Para cá: nenhum.
Para lá: nove. Para cá: nenhum.
Para lá: quatro. Para cá: nenhum.
Para lá: um. Para cá: nenhum.

Deixei de assentar as horas porque são todas iguais.

Os que vão levam alguma coisa. Ponho o que levam, quando me deixam ver.

Hoje não foi ninguém.","Bridge register. Who crosses, which way, and at what hour.

Over: twelve. Back: none.
Over: nine. Back: none.
Over: four. Back: none.
Over: one. Back: none.

I stopped writing the hours because they are all the same.

Those who go carry something. I put down what they carry, when they let me see.

Today nobody went.",texto de diário,600,"Ato 4 (§79). Primeira versão; mede-se contra o diário 9. Desde o soterramento, ninguém veio do outro lado."
JOURNAL_11_TITLE,A última ordem do conselho,The council's last order,título de diário,32,Ato 4 (§79). «Quem a mantiver é rendido à volta do ano.» Não há registo de rendição: as duas linhas ficam em branco.
JOURNAL_11_BODY,"Do conselho comum, aos seis.

A luz mantém-se. Fica ao cuidado de quem tiver o turno, lá em baixo, onde sempre esteve, e não sobe à superfície por motivo nenhum.

Quem a mantiver é rendido à volta do ano. O óleo é dos seis, em partes iguais, e entrega-se antes das chuvas.

A rendição assenta-se aqui, com o nome de quem entra e o de quem sai.

Assinam: Enramados, Horta, Portuários, Fornalha, Fenda, Sob-Raiz.

Entra: ———
Sai: ———","From the common council, to the six.

The light is kept. It falls to whoever holds the shift, down below, where it has always been, and it does not come up to the surface for any reason.

Whoever keeps it is relieved at the turn of the year. The oil is the six's, in equal shares, delivered before the rains.

The relief is entered here, with the name of the one coming in and the one going out.

Signed: Enramados, Horta, Portuários, Fornalha, Fenda, Sob-Raiz.

In: ———
Out: ———",texto de diário,600,Ato 4 (§79). Primeira versão; mede-se contra o diário 9. «Quem a mantiver é rendido à volta do ano.» Não há registo de rendição: as duas linhas ficam em branco.
JOURNAL_12_TITLE,O diário de um rei,A king's journal,título de diário,32,"Ato 4 (§79). A última entrada é de amanhã, e a letra é a do teu rei. É a única vez que a §79 diz a frase."
JOURNAL_12_BODY,"Décimo dia. Não chegaram ao muro. Nunca chegam ao muro.

Os celeiros dão para o inverno se ninguém sair. Mandei não sair.

Se abrir o portão, acaba. Já o pensei quatro vezes hoje.

Não abro, porque no dia em que abrir tenho de contar os que ficaram, e não sei esse número. Enquanto durar o cerco, não tenho de o saber.

[amanhã]
Não estava a atacar-me. Estava a pedir para ir embora.","Tenth day. They did not reach the wall. They never reach the wall.

The granaries will hold the winter if nobody goes out. I ordered nobody out.

If I open the gate, it ends. I have thought it four times today.

I do not open it, because the day I do I have to count who is left, and I do not know that number. While the siege lasts, I do not have to know it.

[tomorrow]
It was not attacking me. It was asking to leave.",texto de diário,600,"Ato 4 (§79). Primeira versão; mede-se contra o diário 9. A última entrada é de amanhã, e a letra é a do teu rei. É a única vez que a §79 diz a frase."
ROT_NAME,A Podridão,The Rot,nome da ameaça,16,"Artigo definido faz parte do nome, nas duas línguas."
CURRENCY_COIN,Moeda,Coin,moeda,12,
CURRENCY_COIN_PLURAL,moedas,coins,"moeda, plural",12,
CURRENCY_ROYAL_SEED,Semente Real,Royal Seed,moeda de meta-progresso,16,
CURRENCY_FAVOR,Favor,Favor,moeda de diplomacia,12,EN em inglês dos EUA (guia de estilo).
DAY_N,Dia %d,Day %d,contador de dias,10,"O exemplo da §27 (DIA_N): chave inteira com marcador, nunca concatenação."
UI_NEW_GAME,Novo jogo,New Game,menu principal,20,
UI_CONTINUE,Continuar,Continue,menu principal,20,
UI_OPTIONS,Opções,Options,menu,20,
UI_CREDITS,Créditos,Credits,menu principal,20,
UI_QUIT,Sair,Quit,menu,20,
UI_PAUSED,Pausa,Paused,ecrã de pausa,20,
UI_RESUME,Retomar,Resume,ecrã de pausa,20,
UI_SAVE_AND_QUIT,Guardar e sair,Save & Quit,ecrã de pausa,24,
UI_CHOOSE_PEOPLE,Escolhe o teu povo,Choose Your People,seleção de povo,28,
UI_WORLD_SEED,Semente do mundo,World Seed,seleção de semente,24,Semente = seed (§42). Não confundir com Semente Real.
UI_SEED_COPY,Copiar semente,Copy Seed,pausa: seed visível e copiável (§42),24,
UI_SEED_RANDOM,Semente aleatória,Random Seed,seleção de semente,24,
UI_SLOT_N,Espaço %d,Slot %d,espaço de gravação,16,Três espaços com rotação (§62).
UI_SLOT_EMPTY,Vazio,Empty,espaço de gravação,16,
UI_SLOT_DAY_N,Dia {day} · {people},Day {day} · {people},resumo de gravação: dia e povo,32,"Dois marcadores: nomeados, com String.format (guia de estilo §4)."
UI_AUDIO,Áudio,Audio,opções,20,
UI_VIDEO,Vídeo,Video,opções,20,
UI_CONTROLS,Controlos,Controls,opções,20,
UI_ACCESSIBILITY,Acessibilidade,Accessibility,opções,20,
UI_LANGUAGE,Idioma,Language,opções,20,
OPT_MASTER_VOLUME,Volume geral,Master Volume,opções de áudio,24,
OPT_MUSIC_VOLUME,Música,Music,opções de áudio,24,
OPT_SFX_VOLUME,Efeitos,Sound Effects,opções de áudio,24,
OPT_FULLSCREEN,Ecrã inteiro,Fullscreen,opções de vídeo,24,
OPT_WINDOWED,Janela,Windowed,opções de vídeo,24,
OPT_CRISP_PIXELS,Pixels nítidos,Crisp Pixels,opções de vídeo: escala inteira com barras (§19),24,
OPT_DAY_LENGTH,Duração do dia,Day Length,acessibilidade: 240–540 s (§26),24,
OPT_SCREEN_SHAKE,Tremor de ecrã,Screen Shake,acessibilidade,24,
OPT_FLASHES,Clarões,Flashes,acessibilidade: fotossensibilidade,24,
OPT_COLORBLIND,Modo para daltonismo,Colorblind Mode,acessibilidade,28,
OPT_CONTRAST,Contraste,Contrast,acessibilidade,24,
OPT_CAPTIONS,Legendas de sons,Sound Captions,acessibilidade (§26),24,
OPT_TEXT_SIZE,Tamanho do texto,Text Size,acessibilidade,24,
OPT_REMAP,Remapear comandos,Remap Controls,controlos,28,
OPT_TELEMETRY,Partilhar dados anónimos,Share Anonymous Data,"telemetria, desligada por omissão (§32)",32,
UI_TELEMETRY_PROMPT,"Queres partilhar dados anónimos de jogo para ajudar a afinar o Empire? Sem nome, sem IP. Podes mudar isto nas opções.","Share anonymous gameplay data to help tune Empire? No name, no IP. You can change this in Options.",primeiro arranque (§32),160,'Empire' é codinome — substituir quando houver nome (Bíblia de nomes).
UI_YES,Sim,Yes,confirmação,8,
UI_NO,Não,No,confirmação,8,
UI_INTERREGNUM,Interregno,Interregnum,morte do rei sem herdeiro (§16),20,
UI_CROWN_FALLEN,A coroa caiu,The Crown Has Fallen,derrota (§16),28,
UI_SUCCESSION,Sucessão,Succession,sucessão (§15),20,
EPILOGUE_UNION,União,Union,epílogo (§17),16,
EPILOGUE_DOMINION,Domínio,Dominion,epílogo (§17),16,
CAPTION_DAWN_BELL,[Sino da manhã],[Morning bell],legenda de som (§26),32,
CAPTION_DUSK_WARNING,[A Podridão desperta],[The Rot stirs],legenda de som (§26),32,
CAPTION_ROT_NEAR,[A Podridão aproxima-se],[The Rot draws near],legenda de som (§26),32,
CAPTION_NIGHT,[Cai a noite],[Night falls],legenda de som (§26),32,
CAPTION_WALL_BREACHED,[Uma muralha cedeu],[A wall gives way],legenda de som (§26),32,
CAPTION_KING_HIT,[O monarca foi ferido],[The monarch is hurt],legenda de som (§26),32,
CAPTION_DEBT_DUE,[O prazo da dívida aproxima-se],[The debt falls due],legenda de som (§26),32,
CAPTION_SECRET_NEAR,[Há um segredo por perto],[A secret is near],legenda de som (§26),32,
OFFER_THE_LAME,Dá-me o que já não anda.,Give me what no longer walks.,fala da Podridão — §75,48,"Oito palavras no máximo. Nunca ameaça, nunca explica, nunca trata por vós."
OFFER_JUST_LOOKING,Nada. Só quero ver.,Nothing. I only want to look.,fala da Podridão — §75,48,"Oito palavras no máximo. Nunca ameaça, nunca explica, nunca trata por vós."
OFFER_ONE_PER_DOOR,Um por cada porta.,One for every door.,fala da Podridão — §75,48,"Oito palavras no máximo. Nunca ameaça, nunca explica, nunca trata por vós."
OFFER_OPEN_GATE,Deixa a porta aberta.,Leave the door open.,fala da Podridão — §75,48,"Oito palavras no máximo. Nunca ameaça, nunca explica, nunca trata por vós."
OFFER_ALL_THAT_SHINES,"O que brilha, e nada mais.","What shines, and nothing else.",fala da Podridão — §75,48,"Oito palavras no máximo. Nunca ameaça, nunca explica, nunca trata por vós."
