segment_id,people,biome,kind,width_px,difficulty,entry_rules,exit_rules,build_slots,cave_slots,passages,resource_slots,subject,landmark,spawn_table,parallax_set,lighting_profile,music_profile,greybox_status,paint_status,playtested,phase,notes
sobraiz_fortress_01,sobraiz,subterranean,fortress,640,3,not_adjacent=fortress|at_region_end,—,0,2,1,—,sealed_chamber,—,n/a (§51),herdado: closed,herdado: closed,stinger: fortaleza,todo,todo,,7,
sobraiz_edge_01,sobraiz,subterranean,edge,640,1,at_region_end,—,0,0,0,—,collapsed_tunnel,—,n/a (§51),herdado: closed,herdado: closed,herdado,todo,todo,,7,
chapter_crossroad_souls,—,qualquer,chapter,640,—,bifurcation,contorna-se sempre: 25 s de desvio,0,0,1,—,As Alminhas do Cruzamento,roadside_shrine,n/a (§77),herdado do bioma,herdado: closed,silêncio (§77),todo,todo,,5,"Nicho de pedra com almas pintadas. Sem canção: o silêncio é a lei. Uma lei, um habitante, uma canção, um desvio com preço (§77)."
chapter_stopped_pilgrimage,—,floodplain,chapter,640,—,crossing,contorna-se sempre: 40 s de desvio,0,0,1,—,A Romaria Parada,andor,n/a (§77),herdado do bioma,herdado: closed,mus_chapter_stopped_pilgrimage,todo,todo,,5,"Cinquenta figuras a carregar um andor há quarenta anos. Diário 3. Uma lei, um habitante, uma canção, um desvio com preço (§77)."
chapter_house_that_counts,—,qualquer,chapter,640,—,roadside,contorna-se sempre: 25 s de desvio,0,0,1,—,A Casa Que Conta,counting_house,n/a (§77),herdado do bioma,herdado: closed,mus_chapter_house_that_counts,todo,todo,,5,"A Contadeira conta tudo o que passa. As visitas contam para o epílogo. Diário 4. Uma lei, um habitante, uma canção, um desvio com preço (§77)."
chapter_inverted_floodplain,—,floodplain,chapter,640,—,crossing,contorna-se sempre: 40 s de desvio,0,0,1,—,A Várzea Invertida,inverted_well,n/a (§77),herdado do bioma,herdado: closed,mus_chapter_inverted_floodplain,todo,todo,,5,"As faixas trocam; a candeia fica por baixo. Ensina o sistema de faixas onde errar não mata. Uma lei, um habitante, uma canção, um desvio com preço (§77)."
chapter_blind_furrow,—,canyon,chapter,640,—,crossing,contorna-se sempre: 40 s de desvio,0,0,1,—,O Sulco Cego,dark_furrow,n/a (§77),herdado do bioma,herdado: closed,mus_chapter_blind_furrow,todo,todo,,5,"Não há luz. Qualquer luz revela 60 px e acrescenta +30 à massa. Diário 6. Uma lei, um habitante, uma canção, um desvio com preço (§77)."
chapter_lit_oven,—,volcanic,chapter,640,—,roadside,contorna-se sempre: 25 s de desvio,0,0,1,—,O Forno Aceso,bread_oven,n/a (§77),herdado do bioma,herdado: closed,mus_chapter_lit_oven,todo,todo,,5,"O único capítulo cuja lei entra em casa, e é de propósito (Q-039). Uma lei, um habitante, uma canção, um desvio com preço (§77)."
chapter_bone_market,—,qualquer,chapter,640,—,near_mercenary_camp,contorna-se sempre: 25 s de desvio,0,0,1,—,O Mercado dos Ossos,bone_stalls,n/a (§77),herdado do bioma,herdado: closed,mus_chapter_bone_market,todo,todo,,5,"Mercenários a metade, dívida ao dobro. Sete bancas. Diário 8. Uma lei, um habitante, uma canção, um desvio com preço (§77)."
chapter_spore_field,—,subterranean,chapter,640,—,crossing,contorna-se sempre: 40 s de desvio,0,0,1,—,O Campo de Esporos,mushroom_roofs,n/a (§77),herdado do bioma,herdado: closed,mus_chapter_spore_field,todo,todo,,5,"A cidade Sob-Raiz por baixo, intacta. É a reviravolta do Ato III. Uma lei, um habitante, uma canção, um desvio com preço (§77)."
chapter_bridge_of_returners,—,canyon,chapter,640,—,crossing,contorna-se sempre: 40 s de desvio,0,0,1,—,A Ponte dos Que Voltaram,six_span_bridge,n/a (§77),herdado do bioma,herdado: closed,mus_chapter_bridge_of_returners,todo,todo,,5,"Seis tramos, e o sexto não tem material nenhum. Diário 10. Uma lei, um habitante, uma canção, um desvio com preço (§77)."
chapter_endless_siege,—,qualquer,chapter,640,—,fortress,contorna-se sempre: 40 s de desvio,0,0,1,—,O Cerco Que Não Acaba,besieged_fortress,n/a (§77),herdado do bioma,herdado: closed,mus_chapter_endless_siege,todo,todo,,5,"Garantido em todas as campanhas: é ele que carrega o diário 12. Uma lei, um habitante, uma canção, um desvio com preço (§77)."
