id,display_key,people,category,cost,material,yield_per_day,requires_biome_feature,destroyed_by_rot_trail,job_slots,craft,max_health,contact_slots,build_work,width_px,upgrade_to,unique_per_kingdom,effect_params,shadow_width,tags,_phase,_src,_proposed,_notes
henhouse,BUILDING_HENHOUSE,neutral,production,8,animal,3,,false,0,,64,,16,96,,false,,96,stealable_at_night,1,§06 circuito 1: galinheiro,max_health|build_work|width_px|shadow_width,'Galinhas roubáveis à noite' (§06). Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
cow_stable,BUILDING_COW_STABLE,neutral,production,14,animal,5,,false,1,,112,,28,160,,false,,160,manual_milking,6,§06 circuito 1: estábulo de vaca,max_health|build_work|width_px|shadow_width,"'Ordenha manual — exige uma tropa parada' → job_slots 1, do dossiê. Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)"
lumber_camp,BUILDING_LUMBER_CAMP,neutral,production,7,wood,2,forest,false,1,,56,,14,120,,false,,120,,6,§06 circuito 1: corte de madeira,max_health|build_work|width_px|shadow_width|job_slots,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
ore_pit,BUILDING_ORE_PIT,neutral,production,12,ore,4,rock,false,1,,96,,24,120,,false,,120,attracts_burrowers,6,§06 circuito 1: poço de minério,max_health|build_work|width_px|shadow_width|job_slots,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
granary,BUILDING_GRANARY,neutral,conversion,10,,,,false,0,cook,80,,20,120,,false,,120,,2,§06 circuito 2: celeiro (grão),max_health|build_work|width_px|shadow_width,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
saltery,BUILDING_SALTERY,neutral,conversion,9,,,,false,0,cook,72,,18,120,,false,,120,stops_spoilage,6,§06 circuito 2: salga (peixe),max_health|build_work|width_px|shadow_width,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
pen,BUILDING_PEN,neutral,conversion,11,,,,false,0,cook,88,,22,120,,false,,120,,6,§06 circuito 2: curral (animal vivo),max_health|build_work|width_px|shadow_width,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
sawmill,BUILDING_SAWMILL,neutral,conversion,13,,,,false,0,builder,104,,26,120,,false,,120,,6,§06 circuito 2: serração (madeira),max_health|build_work|width_px|shadow_width,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
smelter,BUILDING_SMELTER,neutral,conversion,18,,,,false,0,smith,144,,36,120,,false,,120,,6,§06 circuito 2: fundição (minério),max_health|build_work|width_px|shadow_width,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
archer_tower,BUILDING_ARCHER_TOWER,neutral,defense,18,,,,false,2,,144,,36,64,,false,posts:2|range_bonus:0.4|accuracy:1.0,64,tower|elevated,1,§10 torres e defesas,max_health|build_work|width_px|shadow_width,"2 postos elevados, +40% alcance, precisão ≈100% — do dossiê. Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)"
high_tower,BUILDING_HIGH_TOWER,neutral,defense,30,,,,false,2,,240,,60,64,,false,posts:2|hits_aerial:1|accuracy:1.0,64,tower|elevated|anti_air,1,§10 torre alta: atinge a camada aérea; obrigatória a partir do dia 4,max_health|build_work|width_px|shadow_width|job_slots,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
fire_barrel,BUILDING_FIRE_BARREL,neutral,defense,12,,,,false,0,,20,,24,32,,false,rot_slow:0.25|aoe_damage:20|aoe_radius:96,32,explodes,1,§10 barril de fogo: dano em área ao ser destruído; abranda A Podridão 25%,max_health|build_work|width_px|shadow_width|effect_params,"Exceção à regra de vida: 20, porque tem de rebentar. aoe_damage 20 mata dois Rastejantes (vida 10) e fere um Bruto. Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)"
root_moat,BUILDING_ROOT_MOAT,neutral,defense,22,,,,false,0,,176,,44,96,,false,root_seconds:3,96,,6,§10 fosso de raízes: prende terrestres 3 s,max_health|build_work|width_px|shadow_width,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
lighthouse,BUILDING_LIGHTHOUSE,neutral,defense,40,,,,false,0,,320,,80,64,,false,light_radius:300|blocks_summon:1,64,landmark|warm_light,6,§10 farol: ilumina 300 px; A Podridão não invoca dentro da luz,max_health|build_work|width_px|shadow_width,Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
consecrated_altar,BUILDING_CONSECRATED_ALTAR,neutral,defense,55,,,,false,0,,440,,110,96,,false,rot_slow:0.4|radius:320,96,,6,§10 altar consagrado: −40% velocidade da Podridão,max_health|build_work|width_px|shadow_width|effect_params,O raio não está no dossiê: 320 px = meio segmento (§21). Regra proposta: max_health = 8 × custo; build_work = 2 s × custo; shadow_width = largura (§22: a sombra escala com a largura)
