id,display_key,people,max_health,damage,attack_interval,accuracy_open,range_px,targets_bands,recruit_cost,upkeep_per_day,drops_on_death,band,move_speed,scale_tier,can_change_band,layer_slots,shadow_width,tags,job_affinity,coin_capacity,trained_at,train_days,ability,ability_params,weapon_kind,head_pool,_phase,_src,_proposed,_notes
bard,UNIT_BARD,neutral,12,0,,,,,18,0,coins|corpse,SURFACE,80,2,true,body|head|face|weapon|overlay,18,craft|bard|charm,perform:1.0,2,training_house,1,charm_weak,radius:120|duration:30,,hat_bard,6,§09 treino 18; §08 Bardo,max_health|tags|job_affinity|coin_capacity|head_pool|trained_at|ability_params,O §09 dá o custo (18) sem edifício; propõe-se a Casa de Treino. É também classe jogável (classes.csv).
climber,UNIT_CLIMBER,neutral,16,5,1.0,1.0,26,SURFACE|AERIAL,6,,weapon|coins|corpse,SURFACE,92,2,true,body|head|face|weapon|overlay,18,agile|climbs,hunt:0.8|wall:0.6,5,,,,,dagger,bandana,6,"§08 Trepador: sobe plataformas, ramos e pontes sem escadas",max_health|damage|attack_interval|range_px|targets_bands|recruit_cost|move_speed|tags|job_affinity|coin_capacity,"Proposta ancorada no arqueiro (vida 14–16) com dano de lanceiro reduzido; é mobilidade, não linha."
buried_knight,UNIT_BURIED_KNIGHT,neutral,50,9,1.3,1.0,30,SURFACE,0,,weapon|corpse,SURFACE,68,3,true,body|head|face|weapon|overlay,22,heals_self|grows_vegetation,,0,,,sit_heal,heal_per_second:2|rot_slow:0.25|radius:160,greatsword,helmet_full,6,"§08 Cavaleiro Enterrado: único que se cura sozinho, sentado; a vegetação abranda A Podridão",max_health|damage|attack_interval|move_speed|ability_params|coin_capacity,"rot_slow 0,25 = o do barril de fogo (§10), para não criar um terceiro valor de abrandamento."
sealed_knight,UNIT_SEALED_KNIGHT,neutral,45,10,1.2,1.0,60,SURFACE,0,,weapon|corpse,SURFACE,80,3,false,body|head|face|weapon|overlay,22,mounted|blind_without_mount,,0,,,sees_through_mount,blind_range_px:28|vignette:0.40,lance,helmet_sealed,6,§08 Cavaleiro Selado; §24 vinheta que fecha até 40% do ecrã,max_health|damage|attack_interval|range_px|coin_capacity,"Montado o alcance é 60 px (lança); cego cai para corpo-a-corpo, 28 px = o do lanceiro (§07)."
canopy_archer,UNIT_CANOPY_ARCHER,enramados,14,4,1.4,1.0,200,SURFACE|AERIAL,5,,weapon|coins|corpse,SURFACE,80,2,false,body|head|face|weapon|overlay,18,ranged|elevated,,5,,,shoot_from_canopy,accuracy_in_canopy:1.0,bow,,2,§04 Enramados: arqueiro de copa — atira da faixa aérea,max_health|damage|attack_interval|range_px|recruit_cost|move_speed|coin_capacity|ability_params,É o arqueiro do §07 com a certeza da torre: 'a torre não dá dano — dá certeza' (§07). Custo 5 = arqueiro 3 + posição.
barge,UNIT_BARGE,portuarios,60,0,1.0,1.0,0,SURFACE,14,,weapon|coins|corpse,SURFACE,135,2,false,body|head|face|weapon|overlay,40,vehicle|transport,,5,,,ferry_troops,capacity:6,,,7,§04 Portuários: barcaça — desloca 6 tropas pela costa,max_health|damage|attack_interval|range_px|recruit_cost|move_speed|coin_capacity|ability_params,Veículo sem ataque; a capacidade de 6 é do dossiê.
counterweight_ram,UNIT_COUNTERWEIGHT_RAM,fenda,80,26,2.0,1.0,30,SURFACE,20,,weapon|coins|corpse,SURFACE,49,3,false,body|head|face|weapon|overlay,48,siege|walls_only,,5,,,siege_ram,,ram,,7,§04 Fenda: aríete de contrapeso,max_health|damage|attack_interval|range_px|recruit_cost|move_speed|coin_capacity|ability_params,"Espelho aliado do Aríete de lodo (§07: dano 26, 2,0 s) com menos vida."
sower,UNIT_SOWER,horta,12,0,1.0,1.0,0,SURFACE,2,,weapon|coins|corpse,SURFACE,80,2,false,body|head|face|weapon|overlay,18,worker|plants_in_combat,,5,,,plant_in_combat,plant_cost:1|root_seconds:3,hoe,,7,"§04 Horta: semeador — planta durante o combate; defesa por números, tropas baratíssimas",max_health|damage|attack_interval|range_px|recruit_cost|move_speed|coin_capacity|ability_params,"root_seconds 3 = fosso de raízes (§10), para reutilizar a mesma regra."
war_smith,UNIT_WAR_SMITH,fornalha,24,4,1.2,1.0,28,SURFACE,10,,weapon|coins|corpse,SURFACE,80,2,false,body|head|face|weapon|overlay,18,melee|repairs_walls,,5,,,repair_wall,hp_per_second:3,hammer,,7,§04 Fornalha: ferreiro de guerra — repara muros em combate,max_health|damage|attack_interval|range_px|recruit_cost|move_speed|coin_capacity|ability_params,"3 HP/s repõe uma Estacaria (40) em ~13 s: segura uma brecha, não a torna invulnerável."
digger,UNIT_DIGGER,sobraiz,18,3,1.2,1.0,26,SURFACE,8,,weapon|coins|corpse,UNDERGROUND,80,2,true,body|head|face|weapon|overlay,18,worker|opens_passages,,5,,,dig_passage,dig_seconds:20,pick,,7,§04 Sob-Raiz: escavador — abre passagens entre faixas,max_health|damage|attack_interval|range_px|recruit_cost|move_speed|coin_capacity|ability_params,A única tropa que cria PassageRec novos (§53).
