key,value,_group,_src,_proposed,_notes
interregnum_days,3,"Coroa, morte e decay",§15 sucessão; §16 morte e decay,,sem sucessor: 3 dias sem construir
interregnum_greed,80,"Coroa, morte e decay",§15 sucessão; §16 morte e decay,,ganância durante o interregno
decay_structures_kept,0.4,"Coroa, morte e decay",§15 sucessão; §16 morte e decay,,ao cair mantém 40% das estruturas do império principal
resurrection_seed_cost,3,"Coroa, morte e decay",§15 sucessão; §16 morte e decay,,ou 120 moedas
resurrection_coin_cost,120,"Coroa, morte e decay",§15 sucessão; §16 morte e decay,,ou 3 Sementes Reais
resurrection_phase_loss,1,"Coroa, morte e decay",§15 sucessão; §16 morte e decay,,o ressuscitado perde uma fase de evolução
craft_evolve_days_home,14,Ofícios e conquista,§09 dilema do artesão; §13,,ofício que fica no império
craft_evolve_days_combat,4,Ofícios e conquista,§09 dilema do artesão; §13,,ofício que vai a combate
fortress_seeds,1|3,Ofícios e conquista,§09 dilema do artesão; §13,,Sementes Reais por fortaleza
fortress_cavities_revealed,1|2,Ofícios e conquista,§09 dilema do artesão; §13,,cavidades marcadas no corte de solo
tower_accuracy,1.0,Combate e moral,"§07 precisão, ocupação de linha, moral; §47; §50; §52",,dentro de torre ≈100%; em campo vale accuracy_open de cada unidade
slot_replace_time,0.4,Combate e moral,"§07 precisão, ocupação de linha, moral; §47; §50; §52",,§47 manda-o para a EconomyCurve
queue_min_px,30,Combate e moral,"§07 precisão, ocupação de linha, moral; §47; §50; §52",,a fila espera a 30–120 px
queue_max_px,120,Combate e moral,"§07 precisão, ocupação de linha, moral; §47; §50; §52",,a fila espera a 30–120 px
queue_spacing_px,18,Combate e moral,"§07 precisão, ocupação de linha, moral; §47; §50; §52",,o 18 do código do §50 (30 + i × 18)
king_presence_radius,260,Combate e moral,"§07 precisão, ocupação de linha, moral; §47; §50; §52",,rei em campo: ninguém foge neste raio
breach_flee_health,0.3,Combate e moral,"§07 precisão, ocupação de linha, moral; §47; §50; §52",,muro cai: fogem as tropas com vida < 30%...
breach_flee_max_cost,4,Combate e moral,"§07 precisão, ocupação de linha, moral; §47; §50; §52",,...e custo ≤ 4
flee_health,0.25,Combate e moral,"§07 precisão, ocupação de linha, moral; §47; §50; §52",,FSM: FUGIR com vida < 25% (§52) — ver Q-005
job_proximity_px,400.0,Trabalho,§29 prompt 4,,proximidade = 1 / (1 + distância / 400)
job_hysteresis,0.15,Trabalho,§29 prompt 4,,só muda de posto se o score novo superar o atual em mais de 15%
ai_w_fortify_wall,1.4,IA do rei inimigo,§20 código; §10 Casa de Treino,,"fortify = wall_deficit × 1,4 + threat × 0,8"
ai_w_fortify_threat,0.8,IA do rei inimigo,§20 código; §10 Casa de Treino,,
ai_w_attack,1.2,IA do rei inimigo,§20 código; §10 Casa de Treino,,"attack = army_surplus × 1,2 − king_age_risk"
ai_w_recruit,1.1,IA do rei inimigo,§20 código; §10 Casa de Treino,,"recruit = (1 − army_ratio) × 1,1"
ai_w_expand,0.9,IA do rei inimigo,§20 código; §10 Casa de Treino,,"expand = income_deficit × 0,9 × (1 − greed)"
ai_w_diplomat,1.3,IA do rei inimigo,§20 código; §10 Casa de Treino,,"diplomat = favor_ratio × 1,3"
ai_tyrant_greed,0.65,IA do rei inimigo,§20 código; §10 Casa de Treino,,"tiranos: greed > 0,65"
ai_tyrant_fortify_mult,0.45,IA do rei inimigo,§20 código; §10 Casa de Treino,,poupam no muro
ai_tyrant_recruit_mult,1.35,IA do rei inimigo,§20 código; §10 Casa de Treino,,gastam em elites
ai_target_training_house_from_day,15,IA do rei inimigo,§20 código; §10 Casa de Treino,,destruir a Casa de Treino é prioritário a partir do dia 15
named_cap,9,Identidade — §76,§76 os nove feitos e os títulos,,Nove nomes ao mesmo tempo (D-07). A Q-041 propõe mantê-lo fixo: cresce e deixa de significar nada.
title_mourning_days,3,Identidade — §76,§76 os nove feitos e os títulos,,"Morto o dono, o título fica de luto três dias e volta com ordinal (D-08)."
colheita_base_days,6,Colheita — §78,§78 a Colheita e as duas decisões,,"C = 6 + 2 × povos já detidos. A sexta dura 16 dias — Q-042, a medir em playtest."
colheita_per_people,2,Colheita — §78,§78 a Colheita e as duas decisões,,O termo que trava o snowball.
colheita_assimilation_factor,0.5,Colheita — §78,§78 a Colheita e as duas decisões,,"Por assimilação, metade, arredondada para cima: o diplomata n2 continua a valer a pena (§14)."
colheita_production_mult,1.4,Colheita — §78,§78 a Colheita e as duas decisões,,"Produzem a 140% enquanto dura, e cantam em modo menor (§81)."
release_favor,25,Colheita — §78,§78 a Colheita e as duas decisões,,Soltar: +25 de Favor (§14).
release_route_income,8,Colheita — §78,§78 a Colheita e as duas decisões,,Soltar: rota de comércio permanente de 8 moedas/dia.
release_unit_price_mult,1.5,Colheita — §78,§78 a Colheita e as duas decisões,,"Soltar: a tropa única passa a comprável a 1,5× do preço."
keep_production_bonus,0.8,Colheita — §78,§78 a Colheita e as duas decisões,,Ficar: +80% de produção permanente daquela terra.
keep_landmark_mass,22,Colheita — §78,§78 a Colheita e as duas decisões,,"Ficar: o marco cria raiz e pesa 22 de massa por noite, e não se corta (§74)."
ally_attack_favor,-40,Colheita — §78,§78 a Colheita e as duas decisões,,Atacar um aliado custa 40 de Favor e quebra todas as outras alianças.
bitter_wood_sell_price,0,Lenho Amargo — §74,"§74 candeia, Amargueiro e a massa termo a termo",,Regra 1: o Lenho não é moeda. Fica em zero de propósito; o D-02 chumba se alguém lhe der preço.
bitter_wood_wall_level,4,Lenho Amargo — §74,"§74 candeia, Amargueiro e a massa termo a termo",,"Um Lenho dispensa o requires_conquest da muralha de nível 4, por segmento."
bitter_wood_bastion_cost,3,Lenho Amargo — §74,"§74 candeia, Amargueiro e a massa termo a termo",,"O bastião, único por império, custa 3 Lenhos além das 65 moedas."
coin_pickup_px,12,Moeda física — F1-01,§02 a moeda é física; §53 L_COIN não colide,coin_pickup_px,"Proposta: a apanha é por distância, não por colisão. A medir no F1-01."
coin_gravity_px_s2,700,Moeda física — F1-01,§02 a moeda é física; §61 o Verbo 1,coin_gravity_px_s2,"Proposta: o dossiê diz que a moeda é física e não diz com que física. 700 px/s² com o impulso abaixo dá um arco de 23 px em contínuo — cerca de 20 px a 30 Hz, que é o que se vê — e meio segundo de voo — alto o bastante para se ver por cima de uma tropa, curto o bastante para não se esperar por ele. Q-061; a medir no F1-01."
coin_drop_speed_px_s,180,Moeda física — F1-01,§02 a moeda é física; §61 o Verbo 1,coin_drop_speed_px_s,"Proposta: impulso vertical ao largar. Com a gravidade acima: ápice 23 px em contínuo, ~20 px medidos a 30 Hz, voo 0,51 s. Q-061."
coin_drop_spread_px_s,40,Moeda física — F1-01,§02 a moeda é física; §25 seis moedas ao acordar,coin_drop_spread_px_s,"Proposta: dispersão horizontal máxima ao largar, em px/s. Sobre 0,51 s de voo dá ±20 px de espalhamento — mais do que o raio de apanha de 12, para que duas moedas largadas juntas não se apanhem como uma. Q-061."
coin_drop_repeat_s,0.12,Moeda física — F1-01,§24 mapa de comando «Largar em contínuo — Espaço (manter)»,coin_drop_repeat_s,"Proposta: o §24 manda largar em contínuo e não diz a que ritmo. 0,12 s dão pouco mais de oito moedas por segundo — depressa o bastante para encher uma obra sem martelar a tecla, devagar o bastante para se ver cada moeda a cair e para se parar a tempo. O Bastião de 65 sai em 8 s de tecla premida em vez de 65 toques. Ver Q-083."
recruit_notice_px,120,Recrutamento — F1-04,§25 minuto 0:20 «largas uma moeda perto dele»,recruit_notice_px,Proposta: «perto» não tem número no dossiê. 120 é o limite exterior da fila do §50 — a distância a que o jogo já diz que alguém pertence a um sítio. Ver Q-063.
follow_distance_px,30,Recrutamento — F1-04,§25 minuto 0:20 «o vagabundo segue-te»,follow_distance_px,Proposta ancorada no queue_min_px do §50 (30): é a mesma pergunta — a que distância uma pessoa espera por outra. Ver Q-063.
follow_spacing_px,18,Recrutamento — F1-04,§25 minuto 0:20 «o vagabundo segue-te»,follow_spacing_px,"Proposta ancorada no queue_spacing_px do §50 (18), para o jogo ter UMA regra de espaçamento e não duas. Ver Q-063."
